study_accession,sample_accession,cell_line_name,sample_name,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,fastq_ftp,fastq_galaxy,submitted_ftp,submitted_galaxy,sra_ftp,sra_galaxy,cram_index_ftp,cram_index_galaxy
PRJNA545487,SAMN11893690,JumpIn_3,RS000P,SRS4847468,SRX5934281,SRR9161247,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9161247/SRR9161247.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9161247/SRR9161247.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9161247,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9161247,,
PRJNA545487,SAMN11893684,HuH-7_3,RS000F,SRS4847467,SRX5934280,SRR9161248,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9161248/SRR9161248.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/008/SRR9161248/SRR9161248.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9161248,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/008/SRR9161248,,
PRJNA545487,SAMN11893685,1321-N1_3,RS000G,SRS4847466,SRX5934279,SRR9161249,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9161249/SRR9161249.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/009/SRR9161249/SRR9161249.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9161249,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/009/SRR9161249,,
PRJNA545487,SAMN11893686,SK-MEL-28_3,RS000H,SRS4847465,SRX5934278,SRR9161250,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9161250/SRR9161250.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/000/SRR9161250/SRR9161250.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9161250,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/000/SRR9161250,,
PRJNA545487,SAMN11893687,LS180_3,RS000K,SRS4847464,SRX5934277,SRR9161251,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9161251/SRR9161251.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/001/SRR9161251/SRR9161251.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9161251,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/001/SRR9161251,,
PRJNA545487,SAMN11893680,LS180_2,RS000A,SRS4847463,SRX5934276,SRR9161252,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9161252/SRR9161252.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/002/SRR9161252/SRR9161252.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9161252,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/002/SRR9161252,,
PRJNA545487,SAMN11893681,MDA-MB-468_2,RS000B,SRS4847462,SRX5934275,SRR9161253,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9161253/SRR9161253.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/003/SRR9161253/SRR9161253.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9161253,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/003/SRR9161253,,
PRJNA545487,SAMN11893682,HCT116_2,RS000C,SRS4847461,SRX5934274,SRR9161254,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9161254/SRR9161254.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/004/SRR9161254/SRR9161254.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9161254,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/004/SRR9161254,,
PRJNA545487,SAMN11893683,JumpIn_2,RS000E,SRS4847460,SRX5934273,SRR9161255,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9161255/SRR9161255.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/005/SRR9161255/SRR9161255.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9161255,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/005/SRR9161255,,
PRJNA545487,SAMN11893688,MDA-MB-468_3,RS000M,SRS4847459,SRX5934272,SRR9161256,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9161256/SRR9161256.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/006/SRR9161256/SRR9161256.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9161256,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/006/SRR9161256,,
PRJNA545487,SAMN11893689,HCT116_3,RS000N,SRS4847458,SRX5934271,SRR9161257,9606,Homo sapiens,Illumina HiSeq 4000,SINGLE,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9161257/SRR9161257.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/SRR916/007/SRR9161257/SRR9161257.fastq.gz,,,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9161257,ftp.sra.ebi.ac.uk/vol1/srr/SRR916/007/SRR9161257,,
